Vol,Kind,File,SHA1,Size,URL
"36","iso","Volume 36 - JOGO DISK .iso","fe0aec4df037f42bebfaf259acb287dbb4c402c9","107663360","https://archive.org/download/jogo-disk-collection/Volume%2036%20-%20JOGO%20DISK%20.iso"
"37","iso","Volume 37 - JOGO DISK .iso","37a60ec55253d528e928186d5fb16846ff96c4fc","101713920","https://archive.org/download/jogo-disk-collection/Volume%2037%20-%20JOGO%20DISK%20.iso"
"39","iso","Volume 39 - JOGO DISK .iso","59b0258c0a92bc080549fecbd649d77029af4027","93220864","https://archive.org/download/jogo-disk-collection/Volume%2039%20-%20JOGO%20DISK%20.iso"
"41","iso","Volume 41 - JOGO DISK .iso","4e419d18355ecb6a67c4cd50ad7c7b3f2b344e2f","160147456","https://archive.org/download/jogo-disk-collection/Volume%2041%20-%20JOGO%20DISK%20.iso"
"44","iso","Volume 44 - JOGO DISK .iso","882cd6e914f329ded09a0d1e4278790bab5aa342","127260672","https://archive.org/download/jogo-disk-collection/Volume%2044%20-%20JOGO%20DISK%20.iso"
"46","iso","Volume 46 - JOGO DISK .iso","30b6ba517b0cade35e8604a15c5429b31496aee8","439703552","https://archive.org/download/jogo-disk-collection/Volume%2046%20-%20JOGO%20DISK%20.iso"
"47","iso","Volume 47 - JOGO DISK .iso","aca0c38f5d747e1aaf36ef60c3eb1366baf740d9","154232832","https://archive.org/download/jogo-disk-collection/Volume%2047%20-%20JOGO%20DISK%20.iso"
"49","iso","Volume 49 - JOGO DISK .iso","cfaad71808802fe8a0565e043223f6e3524c469c","127322112","https://archive.org/download/jogo-disk-collection/Volume%2049%20-%20JOGO%20DISK%20.iso"
"50","iso","Volume 50 - JOGO DISK .iso","87f4775635933199e957894777b5b943b5f8d54b","139413504","https://archive.org/download/jogo-disk-collection/Volume%2050%20-%20JOGO%20DISK%20.iso"
"52","iso","Volume 52 - JOGO DISK .iso","c9b57da51d82c5b4d80deac42b11f5e6660f72b2","120942592","https://archive.org/download/jogo-disk-collection/Volume%2052%20-%20JOGO%20DISK%20.iso"
"53","iso","Volume 53 - JOGO DISK .iso","80d8e74b8b83a253831e2312855668a955bd6a52","127094784","https://archive.org/download/jogo-disk-collection/Volume%2053%20-%20JOGO%20DISK%20.iso"
"55","iso","Volume 55 - JOGO DISK .iso","255454c003a46ca6054319515666c1bdc4026862","108627968","https://archive.org/download/jogo-disk-collection/Volume%2055%20-%20JOGO%20DISK%20.iso"
"56","iso","Volume 56 - JOGO DISK .iso","7d21065d202ef2c6e44f57df579c58343e420e46","105613312","https://archive.org/download/jogo-disk-collection/Volume%2056%20-%20JOGO%20DISK%20.iso"
"59","iso","Volume 59 - JOGO DISK .iso","473b0d75770eb105103958b136f426647ee61698","110671872","https://archive.org/download/jogo-disk-collection/Volume%2059%20-%20JOGO%20DISK%20.iso"
"60","iso","Volume 60.iso","cf80f72e7950a521d42d4468e6f116f5246d7d03","121202688","https://archive.org/download/jogo-disk-collection/Volume%2060.iso"
"61","iso","Volume 61 - JOGO DISK .iso","03291cf66ca88b958723b39fa5d01fe3c4b25a47","100044800","https://archive.org/download/jogo-disk-collection/Volume%2061%20-%20JOGO%20DISK%20.iso"
"62","iso","Volume 62 - JOGO DISK .iso","a760ef5ac75f7d9e92c3094e50de6312907b5b11","102180864","https://archive.org/download/jogo-disk-collection/Volume%2062%20-%20JOGO%20DISK%20.iso"
"63","iso","Volume 63 - JOGO DISK .iso","a567f575e403f8cdaf21cdb24ded279abe1e361e","80744448","https://archive.org/download/jogo-disk-collection/Volume%2063%20-%20JOGO%20DISK%20.iso"
"64","iso","Volume 64 - JOGO DISK .iso","c3bedf33d63310c02b0f1afb5f173b0c44eec708","89804800","https://archive.org/download/jogo-disk-collection/Volume%2064%20-%20JOGO%20DISK%20.iso"
"65","iso","Volume 65.iso","cd5ad5a48efd13f9462da73f98bfcd039a7de4ea","98461696","https://archive.org/download/jogo-disk-collection/Volume%2065.iso"
"76","iso","Volume 76 My Disc.iso","4add69f4eebb23cea035240eaf98b5dc8f5c867f","117583872","https://archive.org/download/jogo-disk-collection/Volume%2076%20My%20Disc.iso"
"78","iso","Volume 78 My Disc.iso","1fcea133e77267a564c8e69e35d8f90b88caf96c","91779072","https://archive.org/download/jogo-disk-collection/Volume%2078%20My%20Disc.iso"
"83","iso","Volume 83 My Disc.iso","ef50b2998f6fd2619527ce95dc199a1559dfa9c6","66148352","https://archive.org/download/jogo-disk-collection/Volume%2083%20My%20Disc.iso"
"86","iso","Volume 86 My Disc.iso","13c62b989ee6a825cafaad120e50e3bba8210b0b","84207616","https://archive.org/download/jogo-disk-collection/Volume%2086%20My%20Disc.iso"
"89","iso","Volume 89 My Disc.iso","bc84db469c33dd77a35aaff9bc652855cc204ddf","96303104","https://archive.org/download/jogo-disk-collection/Volume%2089%20My%20Disc.iso"
"93","iso","Volume 93 My Disc.iso","dd3edfed6f82774fb495c8da57087b781c5a5c6d","89016320","https://archive.org/download/jogo-disk-collection/Volume%2093%20My%20Disc.iso"
"99","iso","Volume 99 Jan 19 2010.iso","53cdc323c278e43dea4b78d124a2f10a386d893f","73111552","https://archive.org/download/jogo-disk-collection/Volume%2099%20Jan%2019%202010.iso"
"104","iso","Volume 104 Mar 13 2010.iso","0dc80c6aa04f34feef9f2b2296cb4e6a712b0fe2","81096704","https://archive.org/download/jogo-disk-collection/Volume%20104%20Mar%2013%202010.iso"
"108","iso","Volume 108.iso","f4e1535d836aca6fb94f07640e576fcf82470fef","74358784","https://archive.org/download/jogo-disk-collection/Volume%20108.iso"
"110","iso","Volume 110.iso","8f521023082f43825b5b88e184aca79c54ed15d3","68026368","https://archive.org/download/jogo-disk-collection/Volume%20110.iso"
"112","iso","Volume 112.iso","8d79c93b3d52537b78b255edcb098d664f15914a","77811712","https://archive.org/download/jogo-disk-collection/Volume%20112.iso"
"117","iso","Volume 117 Oct 15 2010.iso","c5c0b2f438bb5c1cf9a26b547290fac0bfe7ef5e","80576512","https://archive.org/download/jogo-disk-collection/Volume%20117%20Oct%2015%202010.iso"
"119","iso","Volume 119 Nov 09 2010.iso","27342d9473ac0e94eb78e0e95819d128792cc247","146563072","https://archive.org/download/jogo-disk-collection/Volume%20119%20Nov%2009%202010.iso"
"123","iso","Volume 123 Jan 13 2011.iso","206d281376d08ff43e993203d08027c421e9ce58","70535168","https://archive.org/download/jogo-disk-collection/Volume%20123%20Jan%2013%202011.iso"
"132","iso","Volume 132 Jun 09 2011.iso","2ba4c99c142462bbdf38e41d8ad10727dc8fbcf4","107612160","https://archive.org/download/jogo-disk-collection/Volume%20132%20Jun%2009%202011.iso"
"134","iso","Volume 134 Jun 29 2011.iso","28e55aaccf634f45204dd03463eea62e2ff90846","100317184","https://archive.org/download/jogo-disk-collection/Volume%20134%20Jun%2029%202011.iso"
"136","iso","Volume 136 My Disc - Damaged.iso","1138134428f19a1d21bf328cd7bb66797c238c68","74602496","https://archive.org/download/jogo-disk-collection/Volume%20136%20My%20Disc%20-%20Damaged.iso"
"138","iso","Volume 138 Aug 19 2011 - Damaged.iso","a0d4b1df84f911290cce29dd833fca1dd84178e0","65880064","https://archive.org/download/jogo-disk-collection/Volume%20138%20Aug%2019%202011%20-%20Damaged.iso"
"139","iso","Volume 139 Sep 24 2011.iso","731fcd476d9f5d03a427676f5df6323226cebc1a","64188416","https://archive.org/download/jogo-disk-collection/Volume%20139%20Sep%2024%202011.iso"
